id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
1,Nicotine Polacrilex,Target Corporation,2020-02-18,2022-09-17,CR25 1551 4467 2549 4402 1,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
2,fentanyl citrate,"Galena Biopharma",2019-12-06,2022-12-25,FR29 5951 7573 74OY XKGX 6CSG D20,bibendum morbi non quam nec dui luctus rutrum nulla tellus in
3,NITROUS OXIDE,"Galena Biopharma",2019-12-22,2023-11-07,CZ09 8588 0858 8435 9140 2695,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent
4,Norepinephrine Bitartrate,Cantrell Drug Company,2019-12-24,2024-08-19,MT04 VJPY 0772 3DCE K8U3 WIVL VV3K AEN,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
5,"ACETAMINOPHEN, PHENYLEPHRINE HYDROCHLORIDE",Moore Medical LLC,2020-04-14,2024-01-14,LV23 ELDS 2GD5 X19P VCSI K,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
6,Silicea Belladonna,Cantrell Drug Company,2020-07-18,2023-10-05,FR57 7414 7254 046O IHVX AV6L H71,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
7,Spironolactone,"REMEDYREPACK",2020-07-17,2022-11-18,SM28 B981 5118 903W JY0C 5KVO 3QD,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
8,Aspirin,"Galena Biopharma",2020-02-22,2023-03-14,KZ63 800H NM4B ZOWB YYUI,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
9,eucalyptus globulus,"Target Corporation",2019-09-06,2023-05-21,GT74 LHWJ FCXL JNQT ZCXM 4761 GWSP,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
10,Titanium Dioxide,Cantrell Drug Company,2019-12-08,2022-12-08,FR29 5791 5333 58XR G4PR IG28 D08,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
